Date,Open,High,Low,Close,Adj Close,Volume
2015-07-01,31.725000,33.242500,29.805000,30.325001,27.807886,4233122400
2015-08-01,30.375000,30.642500,23.000000,28.190001,25.850096,6427276400
2015-09-01,27.537500,29.222500,26.840000,27.575001,25.400600,4826189200
2015-10-01,27.267500,30.305000,26.827499,29.875000,27.519243,4450048400
2015-11-01,30.200001,30.955000,27.750000,29.575001,27.242897,3002562400
2015-12-01,29.687500,29.965000,26.205000,26.315001,24.343718,3687660800
2016-01-01,25.652500,26.462500,23.097500,24.334999,22.512041,5087392000
2016-02-01,24.117500,24.722500,23.147499,24.172501,22.361717,3243450400
2016-03-01,24.412500,27.605000,24.355000,27.247499,25.343138,2984198400
2016-04-01,27.195000,28.097500,23.127501,23.434999,21.797100,3489534800
2016-05-01,23.492500,25.182501,22.367500,24.965000,23.220165,3602686000
2016-06-01,24.754999,25.472500,22.875000,23.900000,22.364946,3117990800
2016-07-01,23.872499,26.137501,23.592501,26.052500,24.379189,2743118400
2016-08-01,26.102501,27.557501,26.000000,26.525000,24.821346,2520514000
2016-09-01,26.535000,29.045000,25.632500,28.262501,26.590519,3872062400
2016-10-01,28.177500,29.672501,28.070000,28.385000,26.705769,2747657200
2016-11-01,28.365000,28.442499,26.020000,27.629999,25.995438,2886220000
2016-12-01,27.592501,29.504999,27.062500,28.955000,27.381918,2435086800
2017-01-01,28.950001,30.610001,28.690001,30.337500,28.689308,2252488000
2017-02-01,31.757500,34.369999,31.752501,34.247501,32.386887,2299874400
2017-03-01,34.472500,36.125000,34.262501,35.915001,34.111042,2246513600
2017-04-01,35.927502,36.365002,35.014999,35.912498,34.108673,1493216400
2017-05-01,36.275002,39.162498,36.067501,38.189999,36.271770,2615927200
2017-06-01,38.292500,38.994999,35.549999,36.005001,34.337669,2736712400
2017-07-01,36.220001,38.497501,35.602501,37.182499,35.460644,1688047600
2017-08-01,37.275002,41.130001,37.102501,41.000000,39.101368,2644276000
2017-09-01,41.200001,41.235001,37.290001,38.529999,36.890041,2721496400
2017-10-01,38.564999,42.412498,38.115002,42.259998,40.461285,2017165200
2017-11-01,42.467499,44.060001,41.320000,42.962502,41.133884,2402653600
2017-12-01,42.487499,44.299999,41.615002,42.307499,40.652374,2124735200
2018-01-01,42.540001,45.025002,41.174999,41.857498,40.219990,2638717600
2018-02-01,41.792500,45.154999,37.560001,44.529999,42.787930,3711577200
2018-03-01,44.634998,45.875000,41.235001,41.945000,40.468391,2854910800
2018-04-01,41.660000,44.735001,40.157501,41.314999,39.860565,2664617200
2018-05-01,41.602501,47.592499,41.317501,46.717499,45.072868,2483905200
2018-06-01,46.997501,48.549999,45.182499,46.277500,44.820538,2110498000
2018-07-01,45.955002,48.990002,45.855000,47.572498,46.074760,1574765600
2018-08-01,49.782501,57.217499,49.327499,56.907501,55.115868,2801275600
2018-09-01,57.102501,57.417500,53.825001,56.435001,54.849937,2715888000
2018-10-01,56.987499,58.367500,51.522499,54.715000,53.178249,3158994000
2018-11-01,54.762501,55.590000,42.564999,44.645000,43.391079,3845305600
2018-12-01,46.115002,46.235001,36.647499,39.435001,38.461140,3595690000
2019-01-01,38.722500,42.250000,35.500000,41.610001,40.582428,3312349600
2019-02-01,41.740002,43.967499,41.482498,43.287498,42.218506,1890162400
2019-03-01,43.570000,49.422501,42.375000,47.487499,46.513416,2603925600
2019-04-01,47.910000,52.119999,47.095001,50.167500,49.138439,2024470800
2019-05-01,52.470001,53.827499,43.747501,43.767502,42.869724,2957826400
2019-06-01,43.900002,50.392502,42.567501,49.480000,48.651680,2060874800
2019-07-01,50.792500,55.342499,49.602501,53.259998,52.368397,1895406800
2019-08-01,53.474998,54.507500,48.145000,52.185001,51.311405,2724326400
2019-09-01,51.607498,56.605000,51.055000,55.992500,55.264339,2170268400
2019-10-01,56.267502,62.437500,53.782501,62.189999,61.381241,2433210800
2019-11-01,62.384998,67.000000,62.290001,66.812500,65.943619,1793326000
2019-12-01,66.817497,73.492500,64.072502,73.412498,72.675339,2388794800
2020-01-01,74.059998,81.962502,73.187500,77.377502,76.600517,2934370400
2020-02-01,76.074997,81.805000,64.092499,68.339996,67.653778,3019851200
2020-03-01,70.570000,76.000000,53.152500,63.572498,63.083504,6280072400
2020-04-01,61.625000,73.632500,59.224998,73.449997,72.885025,3266123200
2020-05-01,71.562500,81.059998,71.462502,79.485001,78.873604,2806405200
2020-06-01,79.437500,93.095001,79.302498,91.199997,90.743469,3243375600
2020-07-01,91.279999,106.415001,89.144997,106.260002,105.728088,3020496000
2020-08-01,108.199997,131.000000,107.892502,129.039993,128.394058,4070623100
2020-09-01,132.759995,137.979996,103.099998,115.809998,115.438042,3885767100
2020-10-01,117.639999,125.389999,107.720001,108.860001,108.510361,2895016800
2020-11-01,109.110001,121.989998,107.320000,119.050003,118.667633,2123077300
2020-12-01,121.010002,138.789993,120.010002,132.690002,132.492020,2322956800
